id_tmp,periodo,legislatura,fecha_presentacion,numero,proponente,grupo_parlamentario,titulo,sumilla,autores,adherentes,seguimiento,iniciativa_agrupadas,numero_simple,fecha_ultima,estado,link_detalle,periodo_inicio,periodo_fin,fecha_registro
2000200100001,Periodo de gobierno 2000 - 2001.,Primera Legislatura Ordinaria 2000,07/27/2000,00001 ,Congreso,Perú 2000,CETICOS:EXONERACIÓN ARANCELARIA MERCANCIAS-ARICA,"Modifica el artículo 4º del Decreto Legislativo Nº 842. Las mercancías que ingresen a CETICOS, desembarcadas únicamente en los puertos de Ilo, Matarani y puerto peruano en Arica-Chile,se encuentran exentas del pago de derechos arancelarios.",Lozada  Rendón de Gamboa  María del Carmen,," 08/08/2000 A comisión Economía
09/08/2000 En comisión Economía ",,00001,08/09/2000,En comisión,,2000,2001,2021-02-20 22:31:49
2000200100002,Periodo de gobierno 2000 - 2001.,Primera Legislatura Ordinaria 2000,07/28/2000,00002 ,Congreso,Perú Posible,ELECCIONES:REELECCION PRESIDENCIAL DEROGA L.26657,"Deroga la Ley N° 26657, Ley de Reelección Presidencial.",Flores-Araoz Esparza  Antero,," 08/08/2000 A comisión Constitución y Reglamento del Congreso
09/08/2000 En comisión Constitución y Reglamento del Congreso ",,00002,08/09/2000,En comisión,,2000,2001,2021-02-20 22:31:49
2000200100003,Periodo de gobierno 2000 - 2001.,Primera Legislatura Ordinaria 2000,07/28/2000,Resolución Legislativa Nº: 27401 01/19/2001 COMPETENCIA CONTENCIOSA DE LA CORTE INTERAMERICANA DE DD.HH.,Congreso,Multiparlamentario,COMPETENCIA CONTENCIOSA DE LA CORTE INTERAMERICANA DE DD.HH.," Deroga la Resolución Legislativa N° 27152 y encárgase al Poder Ejecutivo a realizar todas las
acciones necesarias para dejar sin efecto los resultados que haya generado dicha Resolución
Legislativa, restableciéndose a plenitud para el Estado peruano la Competencia Contenciosa de la
Corte Interamericana de Derechos Humanos. ","Flores-Araoz Esparza  Antero,Barrón Cebreros  Xavier Rodolfo",," 08/08/2000 A comisión Constitución y Reglamento del Congreso
08/08/2000 A comisión Justicia
09/08/2000 En comisión Constitución y Reglamento del Congreso
09/08/2000 En comisión Justicia
22/11/2000 A comisión Derechos Humanos y Pacificación
24/11/2000 En comisión Derechos Humanos y Pacificación
27/11/2000 Dictamen Favorable Sustitutorio Derechos Humanos y Pacificación   Mayoria
30/11/2000 Dispensado de Dictamen Constitución y Reglamento del Congreso
30/11/2000 Orden del Día
10/01/2001 Dictamen Favorable Sustitutorio Constitución y Reglamento del Congreso   Mayoria
12/01/2001 Aprobado
12/01/2001 Autógrafa   Sobre Nº: 81-2000
19/01/2001 Publicado  Resolución Legislativa    Nº: 27401 ","0820, 0018, 0515, 0898, 0854",00003,01/19/2001,Promulgado Resolución Legislativa,,2000,2001,2021-02-20 22:31:49
2000200100004,Periodo de gobierno 2000 - 2001.,Primera Legislatura Ordinaria 2000,07/28/2000,00004 ,Congreso,Multiparlamentario,NACIONALIDAD:DEJA SIN EFECTO LEGAL RESOLUCION ADMINISTRATIVA,"Deja sin efecto legal las resoluciones administrativas que retiran, cancelan o dejan sin efecto la nacionalidad peruana o el título que acredita la misma.","Flores-Araoz Esparza  Antero,Barrón Cebreros  Xavier Rodolfo",," 08/08/2000 A comisión Constitución y Reglamento del Congreso
09/08/2000 En comisión Constitución y Reglamento del Congreso
17/01/2001 Rechazado de Plano Constitución y Reglamento del Congreso ",0027,00004,01/17/2001,Archivo,,2000,2001,2021-02-20 22:31:49
2000200100005,Periodo de gobierno 2000 - 2001.,Primera Legislatura Ordinaria 2000,07/28/2000,00005 ,Congreso,Multiparlamentario,REFERENDUM:DEROGA LEY 26592,Propone derogar la Ley N° 26592 que recorta el ejercicio del Referendum.,"Flores-Araoz Esparza  Antero,Barrón Cebreros  Xavier Rodolfo,Masías Oyanguren  Manuel Alejandro",," 08/08/2000 A comisión Constitución y Reglamento del Congreso
09/08/2000 En comisión Constitución y Reglamento del Congreso ",,00005,08/09/2000,En comisión,,2000,2001,2021-02-20 22:31:49
2000200100006,Periodo de gobierno 2000 - 2001.,Primera Legislatura Ordinaria 2000,07/28/2000,Resolución Legislativa del Congreso Nº: 001-2000-CR 09/30/2000 MODIFICA EL ARTICULO 83º DEL REGLAMENTO DEL CONGRESO,Congreso,Multiparlamentario,MODIFICA EL ARTICULO 83º DEL REGLAMENTO DEL CONGRESO," Modifica el artículo 83º del Reglamento del Congreso, referente a la interpelación de los miembros
del Consejo de Ministros. ","Flores-Araoz Esparza  Antero,Barrón Cebreros  Xavier Rodolfo",," 08/08/2000 A comisión Constitución y Reglamento del Congreso
09/08/2000 En comisión Constitución y Reglamento del Congreso
15/09/2000 Dictamen Favorable Sustitutorio Constitución y Reglamento del Congreso   Mayoria
21/09/2000 Orden del Día
21/09/2000 Aprobado
30/09/2000 Publicado  Resolución Legislativa del Congreso    Nº: 001-2000-CR ",0168,00006,09/30/2000,Promulgado Resolución Legislativa del Congreso,,2000,2001,2021-02-20 22:31:49
2000200100007,Periodo de gobierno 2000 - 2001.,Primera Legislatura Ordinaria 2000,07/28/2000,00007 ,Congreso,Multiparlamentario,"REGLAMENTO CONG:38,Q-AMPLIA ATRIBUCION OFICIALIA MAYOR","Adiciona al Reglamento del Congreso el inciso q) al artículo 38°, referente a la organización de la Oficina de Trámite Documentario.","Flores-Araoz Esparza  Antero,Barrón Cebreros  Xavier Rodolfo",," 08/08/2000 A comisión Constitución y Reglamento del Congreso
09/08/2000 En comisión Constitución y Reglamento del Congreso
28/06/2001 Al Archivo
05/07/2001 Al Archivo ",,00007,07/05/2001,Archivo,,2000,2001,2021-02-20 22:31:49
2000200100008,Periodo de gobierno 2000 - 2001.,Primera Legislatura Ordinaria 2000,07/28/2000,Ley Nº: 27362 10/31/2000 DEJA SIN EFECTO HOMOLOGACION DE MAGISTRADOS DEL PODER JUDICIAL Y DEL MINISTERIO PUBLICO,Congreso,Perú Posible,DEJA SIN EFECTO HOMOLOGACION DE MAGISTRADOS DEL PODER JUDICIAL Y DEL MINISTERIO PUBLICO," Deja sin efecto la homologación de los Magistrados Titulares y Provicionales del Poder Judicial y
del Ministerio Público. ",Flores-Araoz Esparza  Antero,," 08/08/2000 A comisión Justicia
09/08/2000 En comisión Justicia
26/10/2000 Dispensado de Dictamen Justicia
26/10/2000 Orden del Día
26/10/2000 Aprobado
26/10/2000 Autógrafa   Sobre Nº: 31-2000
31/10/2000 Publicado  Ley    Nº: 27362 ","0646, 0020",00008,10/31/2000,Promulgado Ley,,2000,2001,2021-02-20 22:31:49
2000200100009,Periodo de gobierno 2000 - 2001.,Primera Legislatura Ordinaria 2000,07/28/2000,Ley Nº: 27367 11/06/2000 DESACTIVA COMISONES EJECUTIVAS DEL PODER JUDICIAL Y DEL MINISTERIO PUBLICO Y ESTABLECE LOS CONSEJOS TRANSITORIOS DEL PODER JUDICIAL Y DEL MINISTERIO PUBLICO,Congreso,Perú Posible,DESACTIVA COMISONES EJECUTIVAS DEL PODER JUDICIAL Y DEL MINISTERIO PUBLICO Y ESTABLECE LOS CONSEJOS TRANSITORIOS DEL PODER JUDICIAL Y DEL MINISTERIO PUBLICO," Desactiva las Comisiones Ejecutivas del Poder Judicial y del Ministerio Público, y establece el
Consejo Transitorio del Poder Judicial y el Consejo Transitorio del Ministerio Público. ",Flores-Araoz Esparza  Antero,," 08/08/2000 A comisión Justicia
09/08/2000 En comisión Justicia
02/11/2000 Dispensado de Dictamen Justicia
02/11/2000 Orden del Día
02/11/2000 Aprobado
03/11/2000 Autógrafa   Sobre Nº: 36-2000
06/11/2000 Publicado  Ley    Nº: 27367 ","0697, 0121, 0173, 0503",00009,11/06/2000,Promulgado Ley,,2000,2001,2021-02-20 22:31:49
2000200100010,Periodo de gobierno 2000 - 2001.,Primera Legislatura Ordinaria 2000,07/28/2000,"Ley Nº: 27368 11/07/2000 MODIFICA O RESTABLECE ARTÍCULOS DE LA LEY ORGÁNICA DEL CONSEJO NACIONAL DE LA MAGISTRATURA, Y DISPONE LA CONVOCATORIA A CONCURSO NACIONAL PARA MAGISTRADOS DEL PODER JUDICIAL Y DEL MINISTERIO PÚBLICO.",Congreso,Perú Posible,"MODIFICA O RESTABLECE ARTÍCULOS DE LA LEY ORGÁNICA DEL CONSEJO NACIONAL DE LA MAGISTRATURA, Y DISPONE LA CONVOCATORIA A CONCURSO NACIONAL PARA MAGISTRADOS DEL PODER JUDICIAL Y DEL MINISTERIO PÚBLICO."," Modifica o restablece artículos de la Ley Orgánica del Consejo Nacional de la Magistratura, y
dispone la convocatoria a concurso nacional para Magistrados del Poder Judicial y del Ministerio
Público. ",Flores-Araoz Esparza  Antero,," 08/08/2000 A comisión Justicia
09/08/2000 En comisión Justicia
02/11/2000 Dispensado de Dictamen Justicia
02/11/2000 Orden del Día
02/11/2000 Aprobado
03/11/2000 Autógrafa   Sobre Nº: 35-2000
07/11/2000 Publicado  Ley    Nº: 27368 ","0685, 0128, 0195",00010,11/07/2000,Promulgado Ley,,2000,2001,2021-02-20 22:31:49
